state,state_abbr,status,implementation_date,notes
Alabama,AL,Not Adopted,,
Alaska,AK,Adopted,2015-09-01,
Arizona,AZ,Adopted,2014-01-01,
Arkansas,AR,Adopted,2014-01-01,
California,CA,Adopted,2014-01-01,
Colorado,CO,Adopted,2014-01-01,
Connecticut,CT,Adopted,2014-01-01,
Delaware,DE,Adopted,2014-01-01,
District of Columbia,DC,Adopted,2014-01-01,
Florida,FL,Not Adopted,,
Georgia,GA,Not Adopted,,
Hawaii,HI,Adopted,2014-01-01,
Idaho,ID,Adopted,2020-01-01,
Illinois,IL,Adopted,2014-01-01,
Indiana,IN,Adopted,2015-02-01,
Iowa,IA,Adopted,2014-01-01,
Kansas,KS,Not Adopted,,
Kentucky,KY,Adopted,2014-01-01,
Louisiana,LA,Adopted,2016-07-01,
Maine,ME,Adopted,2019-01-10,
Maryland,MD,Adopted,2014-01-01,
Massachusetts,MA,Adopted,2014-01-01,
Michigan,MI,Adopted,2014-04-01,
Minnesota,MN,Adopted,2014-01-01,
Mississippi,MS,Not Adopted,,
Missouri,MO,Adopted,2021-10-01,
Montana,MT,Adopted,2016-01-01,
Nebraska,NE,Adopted,2020-10-01,
Nevada,NV,Adopted,2014-01-01,
New Hampshire,NH,Adopted,2014-08-15,
New Jersey,NJ,Adopted,2014-01-01,
New Mexico,NM,Adopted,2014-01-01,
New York,NY,Adopted,2014-01-01,
North Carolina,NC,Adopted,2023-12-01,
North Dakota,ND,Adopted,2014-01-01,
Ohio,OH,Adopted,2014-01-01,
Oklahoma,OK,Adopted,2021-07-01,
Oregon,OR,Adopted,2014-01-01,
Pennsylvania,PA,Adopted,2015-01-01,
Rhode Island,RI,Adopted,2014-01-01,
South Carolina,SC,Not Adopted,,
South Dakota,SD,Adopted,2023-07-01,
Tennessee,TN,Not Adopted,,
Texas,TX,Not Adopted,,
Utah,UT,Adopted,2020-01-01,
Vermont,VT,Adopted,2014-01-01,
Virginia,VA,Adopted,2019-01-01,
Washington,WA,Adopted,2014-01-01,
West Virginia,WV,Adopted,2014-01-01,
Wisconsin,WI,Not Adopted,,
Wyoming,WY,Not Adopted,,
