state,state_abbr,ban_category,gestational_limit_weeks,source_table,notes
Alabama,AL,Total ban,,Guttmacher 2026-04-27 snapshot,
Alaska,AK,No restriction,,Guttmacher 2026-04-27 snapshot,
Arizona,AZ,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
Arkansas,AR,Total ban,,Guttmacher 2026-04-27 snapshot,
California,CA,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
Colorado,CO,No restriction,,Guttmacher 2026-04-27 snapshot,
Connecticut,CT,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
Delaware,DE,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
District of Columbia,DC,No restriction,,Guttmacher 2026-04-27 snapshot,
Florida,FL,Gestational limit <=18wk,6,Guttmacher 2026-04-27 snapshot,
Georgia,GA,Gestational limit <=18wk,6,Guttmacher 2026-04-27 snapshot,
Hawaii,HI,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
Idaho,ID,Total ban,,Guttmacher 2026-04-27 snapshot,
Illinois,IL,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
Indiana,IN,Total ban,,Guttmacher 2026-04-27 snapshot,
Iowa,IA,Gestational limit <=18wk,6,Guttmacher 2026-04-27 snapshot,
Kansas,KS,Gestational limit 19+wk,22,Guttmacher 2026-04-27 snapshot,
Kentucky,KY,Total ban,,Guttmacher 2026-04-27 snapshot,
Louisiana,LA,Total ban,,Guttmacher 2026-04-27 snapshot,
Maine,ME,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
Maryland,MD,No restriction,,Guttmacher 2026-04-27 snapshot,
Massachusetts,MA,Gestational limit 19+wk,24,Guttmacher 2026-04-27 snapshot,
Michigan,MI,No restriction,,Guttmacher 2026-04-27 snapshot,
Minnesota,MN,No restriction,,Guttmacher 2026-04-27 snapshot,
Mississippi,MS,Total ban,,Guttmacher 2026-04-27 snapshot,
Missouri,MO,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
Montana,MT,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
Nebraska,NE,Gestational limit <=18wk,12,Guttmacher 2026-04-27 snapshot,
Nevada,NV,Gestational limit 19+wk,24,Guttmacher 2026-04-27 snapshot,since fertilization
New Hampshire,NH,Gestational limit 19+wk,24,Guttmacher 2026-04-27 snapshot,
New Jersey,NJ,No restriction,,Guttmacher 2026-04-27 snapshot,
New Mexico,NM,No restriction,,Guttmacher 2026-04-27 snapshot,
New York,NY,Gestational limit 19+wk,24,Guttmacher 2026-04-27 snapshot,24wk or viability
North Carolina,NC,Gestational limit <=18wk,12,Guttmacher 2026-04-27 snapshot,
North Dakota,ND,Total ban,,Guttmacher 2026-04-27 snapshot,
Ohio,OH,Gestational limit 19+wk,20,Guttmacher 2026-04-27 snapshot,since fertilization
Oklahoma,OK,Total ban,,Guttmacher 2026-04-27 snapshot,
Oregon,OR,No restriction,,Guttmacher 2026-04-27 snapshot,
Pennsylvania,PA,Gestational limit 19+wk,24,Guttmacher 2026-04-27 snapshot,
Rhode Island,RI,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
South Carolina,SC,Gestational limit <=18wk,6,Guttmacher 2026-04-27 snapshot,
South Dakota,SD,Total ban,,Guttmacher 2026-04-27 snapshot,
Tennessee,TN,Total ban,,Guttmacher 2026-04-27 snapshot,
Texas,TX,Total ban,,Guttmacher 2026-04-27 snapshot,
Utah,UT,Gestational limit <=18wk,18,Guttmacher 2026-04-27 snapshot,
Vermont,VT,No restriction,,Guttmacher 2026-04-27 snapshot,
Virginia,VA,Gestational limit 19+wk,28,Guttmacher 2026-04-27 snapshot,3rd trimester
Washington,WA,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
West Virginia,WV,Total ban,,Guttmacher 2026-04-27 snapshot,
Wisconsin,WI,Gestational limit 19+wk,20,Guttmacher 2026-04-27 snapshot,since fertilization
Wyoming,WY,Gestational limit 19+wk,Viability,Guttmacher 2026-04-27 snapshot,
