"Notes","State","State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","< 1 year","1","American Indian or Alaska Native","1002-5",0,2911,0.0,0.0,0.0
,"Alabama","01","< 1 year","1","Asian","A",0,5504,0.0,0.0,0.0
,"Alabama","01","< 1 year","1","Black or African American","2054-5",0,122149,0.0,0.0,0.0
,"Alabama","01","< 1 year","1","Native Hawaiian or Other Pacific Islander","NHOPI",0,744,0.0,0.0,0.0
,"Alabama","01","< 1 year","1","White","2106-3",0,249123,0.0,0.0,0.0
,"Alabama","01","< 1 year","1","More than one race","M",0,18292,0.0,0.0,0.0
,"Alabama","01","< 1 year","1","Not Available","999",0,0,0.0,0.0,0.0
,"Alabama","01","1-4 years","1-4","American Indian or Alaska Native","1002-5",0,11025,0.0,0.0,0.0
,"Alabama","01","1-4 years","1-4","Asian","A",0,26955,0.0,0.0,0.0
,"Alabama","01","1-4 years","1-4","Black or African American","2054-5",0,491141,0.0,0.0,0.0
,"Alabama","01","1-4 years","1-4","Native Hawaiian or Other Pacific Islander","NHOPI",0,2587,0.0,0.0,0.0
,"Alabama","01","1-4 years","1-4","White","2106-3",0,1041778,0.0,0.0,0.0
,"Alabama","01","1-4 years","1-4","More than one race","M",0,77923,0.0,0.0,0.0
,"Alabama","01","1-4 years","1-4","Not Available","999",0,0,0.0,0.0,0.0
,"Alabama","01","5-14 years","5-14","American Indian or Alaska Native","1002-5",0,28337,0.0,0.0,0.0
,"Alabama","01","5-14 years","5-14","Asian","A",0,68746,0.0,0.0,0.0
,"Alabama","01","5-14 years","5-14","Black or African American","2054-5",Suppressed,1266409,Suppressed,Suppressed,Suppressed
,"Alabama","01","5-14 years","5-14","Native Hawaiian or Other Pacific Islander","NHOPI",0,5876,0.0,0.0,0.0
,"Alabama","01","5-14 years","5-14","White","2106-3",0,2806156,0.0,0.0,0.0
,"Alabama","01","5-14 years","5-14","More than one race","M",0,173561,0.0,0.0,0.0
,"Alabama","01","5-14 years","5-14","Not Available","999",0,0,0.0,0.0,0.0
,"Alabama","01","15-24 years","15-24","American Indian or Alaska Native","1002-5",0,35151,0.0,0.0,0.0
,"Alabama","01","15-24 years","15-24","Asian","A",0,79098,0.0,0.0,0.0
,"Alabama","01","15-24 years","15-24","Black or African American","2054-5",34,1400419,2.4,1.7,3.4
,"Alabama","01","15-24 years","15-24","Native Hawaiian or Other Pacific Islander","NHOPI",0,6724,0.0,0.0,0.0
