"Notes","State","State Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","American Indian or Alaska Native","1002-5","2018","2018",0,9156,0.0,0.0,0.0
,"Alabama","01","American Indian or Alaska Native","1002-5","2019","2019",0,9205,0.0,0.0,0.0
,"Alabama","01","American Indian or Alaska Native","1002-5","2020","2020",0,9247,0.0,0.0,0.0
,"Alabama","01","American Indian or Alaska Native","1002-5","2021","2021",0,9397,0.0,0.0,0.0
,"Alabama","01","American Indian or Alaska Native","1002-5","2022","2022",0,9418,0.0,0.0,0.0
,"Alabama","01","American Indian or Alaska Native","1002-5","2023","2023",0,9873,0.0,0.0,0.0
,"Alabama","01","American Indian or Alaska Native","1002-5","2024 ","2024",0,10285,0.0,0.0,0.0
,"Alabama","01","Asian","A","2018","2018",Suppressed,23464,Suppressed,Suppressed,Suppressed
,"Alabama","01","Asian","A","2019","2019",0,23504,0.0,0.0,0.0
,"Alabama","01","Asian","A","2020","2020",Suppressed,23813,Suppressed,Suppressed,Suppressed
,"Alabama","01","Asian","A","2021","2021",Suppressed,24434,Suppressed,Suppressed,Suppressed
,"Alabama","01","Asian","A","2022","2022",0,25345,0.0,0.0,0.0
,"Alabama","01","Asian","A","2023","2023",0,25380,0.0,0.0,0.0
,"Alabama","01","Asian","A","2024 ","2024",0,27756,0.0,0.0,0.0
,"Alabama","01","Black or African American","2054-5","2018","2018",17,382157,4.4,2.6,7.1
,"Alabama","01","Black or African American","2054-5","2019","2019",28,380551,7.4,4.9,10.6
,"Alabama","01","Black or African American","2054-5","2020","2020",21,379496,5.5,3.4,8.5
,"Alabama","01","Black or African American","2054-5","2021","2021",21,387548,5.4,3.4,8.3
,"Alabama","01","Black or African American","2054-5","2022","2022",16,389878,4.1,2.3,6.7
,"Alabama","01","Black or African American","2054-5","2023","2023",16,390796,4.1,2.3,6.6
,"Alabama","01","Black or African American","2054-5","2024 ","2024",Suppressed,393070,Suppressed,Suppressed,Suppressed
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2018","2018",0,1602,0.0,0.0,0.0
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2019","2019",0,1589,0.0,0.0,0.0
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2020","2020",0,1556,0.0,0.0,0.0
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2021","2021",0,1557,0.0,0.0,0.0
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2022","2022",0,1634,0.0,0.0,0.0
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2023","2023",0,1770,0.0,0.0,0.0
,"Alabama","01","Native Hawaiian or Other Pacific Islander","NHOPI","2024 ","2024",0,1920,0.0,0.0,0.0
,"Alabama","01","White","2106-3","2018","2018",33,836297,3.9,2.7,5.5
,"Alabama","01","White","2106-3","2019","2019",36,832658,4.3,3.0,6.0
,"Alabama","01","White","2106-3","2020","2020",12,831106,1.4,0.7,2.5
,"Alabama","01","White","2106-3","2021","2021",30,850218,3.5,2.4,5.0
,"Alabama","01","White","2106-3","2022","2022",Suppressed,856985,Suppressed,Suppressed,Suppressed
,"Alabama","01","White","2106-3","2023","2023",10,865326,1.2,0.6,2.1
,"Alabama","01","White","2106-3","2024 ","2024",15,872955,1.7,1.0,2.8
,"Alabama","01","More than one race","M","2018","2018",0,19195,0.0,0.0,0.0
,"Alabama","01","More than one race","M","2019","2019",Suppressed,19720,Suppressed,Suppressed,Suppressed
,"Alabama","01","More than one race","M","2020","2020",0,20366,0.0,0.0,0.0
,"Alabama","01","More than one race","M","2021","2021",Suppressed,21492,Suppressed,Suppressed,Suppressed
,"Alabama","01","More than one race","M","2022","2022",Suppressed,22867,Suppressed,Suppressed,Suppressed
,"Alabama","01","More than one race","M","2023","2023",0,23916,0.0,0.0,0.0
,"Alabama","01","More than one race","M","2024 ","2024",0,25129,0.0,0.0,0.0
,"Alabama","01","Not Available","999","2018","2018",0,0,0.0,0.0,0.0
,"Alabama","01","Not Available","999","2019","2019",0,0,0.0,0.0,0.0
,"Alabama","01","Not Available","999","2020","2020",0,0,0.0,0.0,0.0
,"Alabama","01","Not Available","999","2021","2021",0,0,0.0,0.0,0.0
,"Alabama","01","Not Available","999","2022","2022",0,0,0.0,0.0,0.0
,"Alabama","01","Not Available","999","2023","2023",0,0,0.0,0.0,0.0
,"Alabama","01","Not Available","999","2024 ","2024",0,0,0.0,0.0,0.0
,"Alaska","02","American Indian or Alaska Native","1002-5","2018","2018",Suppressed,29305,Suppressed,Suppressed,Suppressed
,"Alaska","02","American Indian or Alaska Native","1002-5","2019","2019",Suppressed,29116,Suppressed,Suppressed,Suppressed
,"Alaska","02","American Indian or Alaska Native","1002-5","2020","2020",0,29171,0.0,0.0,0.0
,"Alaska","02","American Indian or Alaska Native","1002-5","2021","2021",Suppressed,29367,Suppressed,Suppressed,Suppressed
,"Alaska","02","American Indian or Alaska Native","1002-5","2022","2022",Suppressed,29297,Suppressed,Suppressed,Suppressed
,"Alaska","02","American Indian or Alaska Native","1002-5","2023","2023",0,29268,0.0,0.0,0.0
,"Alaska","02","American Indian or Alaska Native","1002-5","2024 ","2024",Suppressed,29468,Suppressed,Suppressed,Suppressed
,"Alaska","02","Asian","A","2018","2018",0,15083,0.0,0.0,0.0
,"Alaska","02","Asian","A","2019","2019",0,14529,0.0,0.0,0.0
,"Alaska","02","Asian","A","2020","2020",0,14502,0.0,0.0,0.0
,"Alaska","02","Asian","A","2021","2021",Suppressed,14315,Suppressed,Suppressed,Suppressed
,"Alaska","02","Asian","A","2022","2022",0,14531,0.0,0.0,0.0
,"Alaska","02","Asian","A","2023","2023",0,14594,0.0,0.0,0.0
,"Alaska","02","Asian","A","2024 ","2024",0,15227,0.0,0.0,0.0
,"Alaska","02","Black or African American","2054-5","2018","2018",0,6956,0.0,0.0,0.0
,"Alaska","02","Black or African American","2054-5","2019","2019",Suppressed,6796,Suppressed,Suppressed,Suppressed
,"Alaska","02","Black or African American","2054-5","2020","2020",0,6632,0.0,0.0,0.0
,"Alaska","02","Black or African American","2054-5","2021","2021",0,6588,0.0,0.0,0.0
,"Alaska","02","Black or African American","2054-5","2022","2022",0,6513,0.0,0.0,0.0
,"Alaska","02","Black or African American","2054-5","2023","2023",Suppressed,6515,Suppressed,Suppressed,Suppressed
,"Alaska","02","Black or African American","2054-5","2024 ","2024",0,6728,0.0,0.0,0.0
,"Alaska","02","Native Hawaiian or Other Pacific Islander","NHOPI","2018","2018",0,3107,0.0,0.0,0.0
,"Alaska","02","Native Hawaiian or Other Pacific Islander","NHOPI","2019","2019",0,3204,0.0,0.0,0.0
,"Alaska","02","Native Hawaiian or Other Pacific Islander","NHOPI","2020","2020",0,3249,0.0,0.0,0.0
,"Alaska","02","Native Hawaiian or Other Pacific Islander","NHOPI","2021","2021",0,3320,0.0,0.0,0.0
,"Alaska","02","Native Hawaiian or Other Pacific Islander","NHOPI","2022","2022",0,3389,0.0,0.0,0.0
,"Alaska","02","Native Hawaiian or Other Pacific Islander","NHOPI","2023","2023",0,3430,0.0,0.0,0.0
,"Alaska","02","Native Hawaiian or Other Pacific Islander","NHOPI","2024 ","2024",Suppressed,3640,Suppressed,Suppressed,Suppressed
,"Alaska","02","White","2106-3","2018","2018",Suppressed,119376,Suppressed,Suppressed,Suppressed
,"Alaska","02","White","2106-3","2019","2019",Suppressed,117301,Suppressed,Suppressed,Suppressed
,"Alaska","02","White","2106-3","2020","2020",0,116177,0.0,0.0,0.0
,"Alaska","02","White","2106-3","2021","2021",Suppressed,115382,Suppressed,Suppressed,Suppressed
,"Alaska","02","White","2106-3","2022","2022",Suppressed,114279,Suppressed,Suppressed,Suppressed
,"Alaska","02","White","2106-3","2023","2023",Suppressed,114600,Suppressed,Suppressed,Suppressed
,"Alaska","02","White","2106-3","2024 ","2024",Suppressed,115544,Suppressed,Suppressed,Suppressed
,"Alaska","02","More than one race","M","2018","2018",0,13884,0.0,0.0,0.0
,"Alaska","02","More than one race","M","2019","2019",0,13988,0.0,0.0,0.0
,"Alaska","02","More than one race","M","2020","2020",0,14191,0.0,0.0,0.0
,"Alaska","02","More than one race","M","2021","2021",0,14467,0.0,0.0,0.0
,"Alaska","02","More than one race","M","2022","2022",0,14841,0.0,0.0,0.0
,"Alaska","02","More than one race","M","2023","2023",0,14912,0.0,0.0,0.0
,"Alaska","02","More than one race","M","2024 ","2024",0,15252,0.0,0.0,0.0
,"Alaska","02","Not Available","999","2018","2018",0,0,0.0,0.0,0.0
,"Alaska","02","Not Available","999","2019","2019",0,0,0.0,0.0,0.0
,"Alaska","02","Not Available","999","2020","2020",0,0,0.0,0.0,0.0
,"Alaska","02","Not Available","999","2021","2021",0,0,0.0,0.0,0.0
,"Alaska","02","Not Available","999","2022","2022",0,0,0.0,0.0,0.0
,"Alaska","02","Not Available","999","2023","2023",0,0,0.0,0.0,0.0
,"Alaska","02","Not Available","999","2024 ","2024",0,0,0.0,0.0,0.0
,"Arizona","04","American Indian or Alaska Native","1002-5","2018","2018",Suppressed,106405,Suppressed,Suppressed,Suppressed
,"Arizona","04","American Indian or Alaska Native","1002-5","2019","2019",Suppressed,107528,Suppressed,Suppressed,Suppressed
,"Arizona","04","American Indian or Alaska Native","1002-5","2020","2020",Suppressed,108847,Suppressed,Suppressed,Suppressed
,"Arizona","04","American Indian or Alaska Native","1002-5","2021","2021",Suppressed,106700,Suppressed,Suppressed,Suppressed
,"Arizona","04","American Indian or Alaska Native","1002-5","2022","2022",Suppressed,106163,Suppressed,Suppressed,Suppressed
,"Arizona","04","American Indian or Alaska Native","1002-5","2023","2023",Suppressed,107492,Suppressed,Suppressed,Suppressed
,"Arizona","04","American Indian or Alaska Native","1002-5","2024 ","2024",Suppressed,109410,Suppressed,Suppressed,Suppressed
,"Arizona","04","Asian","A","2018","2018",0,84593,0.0,0.0,0.0
,"Arizona","04","Asian","A","2019","2019",Suppressed,85952,Suppressed,Suppressed,Suppressed
,"Arizona","04","Asian","A","2020","2020",Suppressed,87771,Suppressed,Suppressed,Suppressed
,"Arizona","04","Asian","A","2021","2021",Suppressed,86038,Suppressed,Suppressed,Suppressed
,"Arizona","04","Asian","A","2022","2022",0,89978,0.0,0.0,0.0
,"Arizona","04","Asian","A","2023","2023",Suppressed,94514,Suppressed,Suppressed,Suppressed
,"Arizona","04","Asian","A","2024 ","2024",0,106524,0.0,0.0,0.0
,"Arizona","04","Black or African American","2054-5","2018","2018",Suppressed,101056,Suppressed,Suppressed,Suppressed
,"Arizona","04","Black or African American","2054-5","2019","2019",11,105028,10.5,5.2,18.7
,"Arizona","04","Black or African American","2054-5","2020","2020",Suppressed,109157,Suppressed,Suppressed,Suppressed
,"Arizona","04","Black or African American","2054-5","2021","2021",Suppressed,109129,Suppressed,Suppressed,Suppressed
,"Arizona","04","Black or African American","2054-5","2022","2022",Suppressed,113133,Suppressed,Suppressed,Suppressed
,"Arizona","04","Black or African American","2054-5","2023","2023",Suppressed,117229,Suppressed,Suppressed,Suppressed
,"Arizona","04","Black or African American","2054-5","2024 ","2024",Suppressed,122966,Suppressed,Suppressed,Suppressed
,"Arizona","04","Native Hawaiian or Other Pacific Islander","NHOPI","2018","2018",0,5641,0.0,0.0,0.0
,"Arizona","04","Native Hawaiian or Other Pacific Islander","NHOPI","2019","2019",0,5783,0.0,0.0,0.0
,"Arizona","04","Native Hawaiian or Other Pacific Islander","NHOPI","2020","2020",0,5941,0.0,0.0,0.0
,"Arizona","04","Native Hawaiian or Other Pacific Islander","NHOPI","2021","2021",0,5912,0.0,0.0,0.0
,"Arizona","04","Native Hawaiian or Other Pacific Islander","NHOPI","2022","2022",0,6081,0.0,0.0,0.0
,"Arizona","04","Native Hawaiian or Other Pacific Islander","NHOPI","2023","2023",0,6217,0.0,0.0,0.0
,"Arizona","04","Native Hawaiian or Other Pacific Islander","NHOPI","2024 ","2024",0,6261,0.0,0.0,0.0
,"Arizona","04","White","2106-3","2018","2018",31,1455367,2.1,1.4,3.0
,"Arizona","04","White","2106-3","2019","2019",28,1467956,1.9,1.3,2.8
,"Arizona","04","White","2106-3","2020","2020",26,1488783,1.7,1.1,2.6
,"Arizona","04","White","2106-3","2021","2021",23,1459624,1.6,1.0,2.4
,"Arizona","04","White","2106-3","2022","2022",20,1474391,1.4,0.8,2.1
,"Arizona","04","White","2106-3","2023","2023",18,1480462,1.2,0.7,1.9
,"Arizona","04","White","2106-3","2024 ","2024",16,1501132,1.1,0.6,1.7
,"Arizona","04","More than one race","M","2018","2018",Suppressed,53442,Suppressed,Suppressed,Suppressed
,"Arizona","04","More than one race","M","2019","2019",Suppressed,56157,Suppressed,Suppressed,Suppressed
,"Arizona","04","More than one race","M","2020","2020",Suppressed,59168,Suppressed,Suppressed,Suppressed
,"Arizona","04","More than one race","M","2021","2021",0,60326,0.0,0.0,0.0
,"Arizona","04","More than one race","M","2022","2022",Suppressed,63223,Suppressed,Suppressed,Suppressed
,"Arizona","04","More than one race","M","2023","2023",Suppressed,65632,Suppressed,Suppressed,Suppressed
,"Arizona","04","More than one race","M","2024 ","2024",Suppressed,68704,Suppressed,Suppressed,Suppressed
,"Arizona","04","Not Available","999","2018","2018",0,0,0.0,0.0,0.0
,"Arizona","04","Not Available","999","2019","2019",0,0,0.0,0.0,0.0
,"Arizona","04","Not Available","999","2020","2020",0,0,0.0,0.0,0.0
,"Arizona","04","Not Available","999","2021","2021",0,0,0.0,0.0,0.0
,"Arizona","04","Not Available","999","2022","2022",0,0,0.0,0.0,0.0
,"Arizona","04","Not Available","999","2023","2023",0,0,0.0,0.0,0.0
,"Arizona","04","Not Available","999","2024 ","2024",0,0,0.0,0.0,0.0
,"Arkansas","05","American Indian or Alaska Native","1002-5","2018","2018",0,8424,0.0,0.0,0.0
,"Arkansas","05","American Indian or Alaska Native","1002-5","2019","2019",Suppressed,8461,Suppressed,Suppressed,Suppressed
,"Arkansas","05","American Indian or Alaska Native","1002-5","2020","2020",0,8556,0.0,0.0,0.0
,"Arkansas","05","American Indian or Alaska Native","1002-5","2021","2021",0,8723,0.0,0.0,0.0
